Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
T1YVN9	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQU5	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHC5	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6W1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGU0	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGG8	uncultured archaeon	Archaea						uncultured archaeon
K4FAL0	uncultured archaeon	Archaea						uncultured archaeon
L7X4K9	uncultured archaeon	Archaea						uncultured archaeon
W8GGS7	uncultured archaeon	Archaea						uncultured archaeon
A0A291I850	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUE1	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AR74	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQU2	uncultured archaeon	Archaea						uncultured archaeon
A0A097BU82	uncultured archaeon	Archaea						uncultured archaeon
G3FH34	crenarchaeote SCGC AAA288-G03	Archaea	Crenarchaeota					crenarchaeote SCGC AAA288-G03
K4FAG6	uncultured archaeon	Archaea						uncultured archaeon
G3FH52	crenarchaeote SCGC AAA288-N23	Archaea	Crenarchaeota					crenarchaeote SCGC AAA288-N23
B3Y8E1	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
K9MR48	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
C6L8J6	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
D0G748	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
B3Y8F4	uncultured ammonia-oxidizing archaeon	Archaea						uncultured ammonia-oxidizing archaeon
